gene_id	GBP-24	GBP-25	GBP-22	GBP-23	GPO-1	GPO-2	GPO-3	GPO-4	GBP-9	GBP-10	GBP-11	GBP-12	GBP-5	GBP-6	GBP-20	GBP-21	GBP-3	GBP-4	GBP-7	GBP-8	GBP-16	GBP-17	GBP-18	GBP-19	GPO-36	GPO-37	GPO-30	GPO-31	GPO-32	GPO-33	GPO-34	GPO-35	GPO-160	GPO-161
Ec-00_000280	1.812	1.439	2.22	1.263	1.3	1.232	0	2.968	2.454	1.655	2.648	2.895	4.873	0	4.522	3.3	1.08	0.765	7.216	4.696	1.94	3.483	4.549	6.921	0	0	0	0	0	0	0	0	0.375	0
Ec-00_000290	6.708	5.119	4.719	5.719	4.485	6.508	5.562	7.252	4.762	2.32	3.521	7.647	9.772	3.211	6.459	5.976	4.306	2.967	4.538	5.147	2.789	5.858	4.904	5.148	1.033	0.617	6.138	5.065	7.417	5.75	5.571	4.318	7.605	8.34
Ec-00_000300	0.846	1.129	0.746	0.609	0.583	0.552	0.425	0.554	1.467	1.113	5.54	10.504	0.874	0.815	2.534	1.923	1.512	1.2	0.606	0.526	0.507	0.468	0.637	0.853	0.215	0	0.675	0.861	0.83	0.588	0.671	0.763	6.181	7.482
Ec-00_000310	2.354	2.111	1.673	1.506	8.644	8.474	3.479	1.814	0.563	2.466	1.619	0.996	1.341	0.318	0.13	0.151	0	0.526	0.414	0	0	0.16	4.519	2.221	0.439	0	2.51	2.693	0.799	0	0.578	1.469	1.032	1.157
Ec-00_000320	227.272	205.125	138.155	109.385	224.68	152.661	423.891	425.737	182.485	136.245	215.563	222.865	165.162	88.79	119.722	120.829	248.998	277.208	107.415	90.229	392.834	432.884	230.474	330.172	43.804	39.158	215.519	202.983	385.358	421.248	322.249	310.407	162.337	163.849
Ec-00_000330	0.063	0.06	0.066	0.158	0	0.257	0	0	0	0.172	0	0.151	0	0.144	3.062	2.75	0	0	0	0.326	0	0	0	0	0	0	0	0	0	0	2.232	3.672	0.156	0.28
Ec-00_000340	0.997	0.772	0.654	0.417	0.268	0.508	0	0	0	0	0	0	3.217	3.287	2.215	2.587	0	4.416	0	0.484	0	0.144	9.696	5.853	0.198	0	0	0	0	0	0	0.496	0.155	0.069
Ec-00_000350	12.29	12.506	11.929	8.197	16.251	18.743	15.012	14.891	13.793	15.935	12.585	14.322	17.316	19.823	9.29	8.741	10.911	11.591	12.698	15.572	7.466	9.783	9.275	11.227	5.044	4.997	8.213	11.151	11.35	8.884	9.017	9.503	14.211	14.261
Ec-00_000360	7.852	7.205	7.524	8.035	7.398	6.642	4.544	5.629	10.534	12.789	13.748	10.708	6.947	6.265	6.229	4.981	12.222	11.129	7.455	10.971	6.935	7.177	6.721	6.881	2.353	1.098	0.066	0.108	0	0.21	0	0.288	24.79	28.188
Ec-00_000370	12.694	11.777	10.381	10.53	10.391	18.59	11.604	10.496	9.637	9.978	10.097	9.575	8.461	7.493	8.528	7.184	12.273	8.482	7.954	7.82	7.308	9.696	9.507	11.729	5.61	7.498	1.433	0.809	0.36	0.542	0	0.442	10.78	11.287
Ec-00_000380	0.021	0.128	0.022	0.026	0.134	1.098	0.104	0.203	0.196	0.142	0.242	0.074	0.1	0	0.62	0.385	0.037	0.157	0.062	0.054	0.022	0.048	0.39	0.261	0	0.039	0	0	0	0	0.022	0.027	0.051	0.046
Ec-00_000390	12.829	13.213	13.435	11.479	15.425	28.65	25.743	24.53	19.507	19.833	19.796	22.929	28.563	21.779	14.887	14.328	25.234	13.426	26.325	14.58	20.566	19.259	17.54	18.146	1.591	1.087	15.98	16.724	13.847	19.09	10.617	8.079	21.369	25.103
Ec-00_000400	0	0	0.392	0.052	0	0	0	0	0	0	0.182	0.298	0	0	1.28	1.223	0.222	0.157	0.619	0.322	0	0	0	0	0	0	0	0	0	0	1.687	0.825	0.155	0.277
Ec-00_000410	94.282	103.27	45.463	76.375	86.477	142.632	72.331	61.571	15.416	21.363	19.434	13.526	10.188	36.201	33.478	34.281	16.756	22.281	13.713	54.296	13.726	13.24	40.703	27.948	1.669	0.363	31.389	9.731	15.311	16.203	26.048	26.517	40.884	38.943
Ec-00_000430	17.881	16.315	35.828	22.842	12.636	23.587	17.429	20.978	26.742	26.689	23.921	31.551	33.013	13.159	14.317	11.274	38.157	37.046	20.101	13.602	20.574	19.185	16.524	19.16	144.739	135.974	33.058	39.256	29.628	31.035	27.098	26.664	20.777	24.224
Ec-00_000440	8.595	11.546	10.376	16.995	14.743	15.314	12.408	11.541	7.224	5.955	5.39	7.103	5.845	13.897	13.188	11.009	8.358	6.169	10.687	14.423	11.707	7.52	15.293	13.13	0.209	0	5.492	2.168	7.502	7.246	8.864	10.657	14.401	12.104
